run,step,loss,lr,mem_gb,erpr
WebGAP,1,0.02414083881197939,4.5454545454545455e-06,18.98,0.0
WebGAP,10,10.049632006951487,4.545454545454546e-05,19.15,0.0
WebGAP,20,7.215355877260831,9.090909090909092e-05,19.15,0.0
WebGAP,30,1.4549720566517208,9.997020702755353e-05,19.16,0.0
WebGAP,40,0.9605796575853219,9.984923392501567e-05,19.16,0.0
WebGAP,50,0.326748117962147,9.96354437049027e-05,19.16,0.0
WebGAP,60,1.538138335743787,9.932923443535798e-05,19.16,0.0
WebGAP,70,1.4269959054945018,9.893117626479777e-05,19.16,0.0
WebGAP,80,0.7762715227318949,9.844201036031951e-05,19.16,0.0
WebGAP,90,0.398920951194566,9.78626475276808e-05,19.16,0.0
WebGAP,100,0.9434604959133139,9.719416651541839e-05,19.16,0.0
WebGAP,110,0.22454576349468597,9.643781200626511e-05,19.16,0.0
WebGAP,120,1.1024952622859074,9.559499229960451e-05,19.16,0.0
WebGAP,130,0.001695215895887081,9.466727668927816e-05,19.16,0.0
WebGAP,140,0.13492058715697725,9.365639254162854e-05,19.16,0.0
WebGAP,150,0.3860206467788089,9.256422207921757e-05,19.16,0.0
WebGAP,160,0.41823236403666897,9.139279887620955e-05,19.16,0.0
WebGAP,170,0.0837066378731599,9.014430407194413e-05,19.16,0.0
WebGAP,180,0.33806649798509253,8.88210623097491e-05,19.16,0.0
WebGAP,190,0.6259559818480971,8.742553740855506e-05,19.16,0.0
WebGAP,200,0.5173372476855687,8.596032777537123e-05,19.16,0.0
WebGAP,210,0.6325994283612353,8.442816156716385e-05,19.16,0.0
WebGAP,220,0.044777295060642076,8.283189161114602e-05,19.16,0.0
WebGAP,230,2.4842820076439,8.117449009293668e-05,19.16,0.0
WebGAP,240,0.005998849507392379,7.945904302247969e-05,19.16,0.0
WebGAP,250,0.3544194835306939,7.768874448802665e-05,19.16,0.0
WebGAP,260,0.06438529671692095,7.586689070888284e-05,19.16,0.0
WebGAP,270,0.2982171688280232,7.399687389798933e-05,19.16,0.0
WebGAP,280,0.013905316919726829,7.208217594576923e-05,19.16,0.0
WebGAP,290,0.15762882880810594,7.012636193699837e-05,19.16,0.0
WebGAP,300,0.010683203620701676,6.81330735127716e-05,19.16,0.0
WebGAP,310,0.00016826432590804074,6.610602208992454e-05,19.16,0.0
WebGAP,320,0.1268533751360703,6.404898195053597e-05,19.16,0.0
WebGAP,330,0.3564142105062064,6.19657832143779e-05,19.16,0.0
WebGAP,340,0.12275149411196082,5.986030470739811e-05,19.16,0.0
WebGAP,350,0.3039406835320989,5.773646673951406e-05,19.16,0.0
WebGAP,360,0.05014489466614691,5.559822380516539e-05,19.16,0.0
WebGAP,370,0.5507923255522769,5.344955722021624e-05,19.16,0.0
WebGAP,380,0.27474572575666584,5.129446770891738e-05,19.16,0.0
WebGAP,390,0.024046848366256767,4.913696795473058e-05,19.16,0.0
WebGAP,400,0.020104524668409597,4.6981075128885693e-05,19.16,0.0
WebGAP,410,0.18458546232768852,4.48308034105815e-05,19.16,0.0
WebGAP,420,0.4432351922977908,4.269015651275761e-05,19.16,0.0
WebGAP,430,0.0012060585832756488,4.056312022735417e-05,19.16,0.0
WebGAP,440,0.2053537510195575,3.845365500393974e-05,19.16,0.0
WebGAP,450,0.00642635570829384,3.6365688575525315e-05,19.16,0.0
WebGAP,460,0.21260742830377524,3.43031086452955e-05,19.16,0.0
WebGAP,470,0.013204033119404102,3.226975564787322e-05,19.16,0.0
WebGAP,480,0.1997832618494506,3.02694155985966e-05,19.16,0.0
WebGAP,490,0.10242339818723992,2.8305813044122097e-05,19.16,0.0
WebGAP,500,0.0021320294062860514,2.6382604127479815e-05,19.16,0.0
WebGAP,510,0.0032470116927200364,2.450336978049322e-05,19.16,0.0
WebGAP,520,0.00017031137805183504,2.2671609056238952e-05,19.16,0.0
WebGAP,530,0.004894112603602352,2.0890732613961478e-05,19.16,0.0
WebGAP,540,0.0003229854520377273,1.9164056368572846e-05,19.16,0.0
WebGAP,550,0.00023806160762234184,1.749479531656279e-05,19.16,0.0
WebGAP,560,0.0004028534887837054,1.588605754981413e-05,19.16,0.0
WebGAP,570,0.007258549867515995,1.4340838468470197e-05,19.16,0.0
WebGAP,580,0.005203281200436649,1.2862015203629274e-05,19.17,0.0
WebGAP,590,0.0008742772886069616,1.145234126025102e-05,19.17,0.0
WebGAP,600,0.0007271972055397314,1.0114441390249202e-05,19.17,0.0
WebGAP,610,0.0003852132047326151,8.850806705317183e-06,19.17,0.0
