tag,baseline,latency_s_mean,peak_mem_gb,seq_mean,n
B0_zeroshot,zeroshot,0.29874680958285654,16.70652723312378,1054.1666666666667,12
M_webgap,webgap,0.3190340999168863,16.76215648651123,1054.1666666666667,12
B1_lora,lora,0.30466216558337084,16.762338161468506,1054.1666666666667,12
