method,confusable_catalog,dense_ledger,rtl_toolbar,crossed_figures
B0,0.9921875,0.7770491803278688,0.5635964912280702,0.35492957746478876
B1,0.9010416666666666,0.760655737704918,0.7236842105263158,0.48450704225352115
B3,0.9626168224299065,0.6666666666666666,0.9537037037037037,0.4782608695652174
M,0.96875,0.7344262295081967,0.7192982456140351,0.38028169014084506
